CODE,aprcflag
2013.1.01052.S,A
2013.1.00880.S,A
2013.1.00168.S,A
2013.1.00459.S,A
2013.1.00359.S,A
2013.1.00033.S,A
2013.1.00191.S,A
2013.1.00764.S,A
2013.1.01194.S,A
2013.1.00048.S,A
2013.1.00349.S,A
2013.1.00907.S,A
2013.1.01330.S,A
2013.1.00432.S,A
2013.1.01016.S,A
2013.1.01268.S,A
2013.1.00582.S,A
2013.1.01312.S,A
2013.1.00122.S,A
2013.1.01058.S,A
2013.1.00481.S,A
2013.1.01175.S,A
2013.1.00430.S,A
2013.1.00092.S,A
2013.1.00063.S,A
2013.1.00426.S,A
2013.1.00487.S,A
2013.1.00493.S,A
2013.1.00126.S,A
2013.1.00526.S,A
2013.1.00226.S,A
2013.1.00034.S,A
2013.1.00858.S,A
2013.1.00088.S,A
2013.1.00338.S,A
2013.1.00351.S,B
2013.1.01070.S,B
2013.1.01241.S,B
2013.1.01046.S,B
2013.1.00403.S,B
2013.1.01136.S,B
2013.1.00111.S,B
2013.1.00524.S,B
2013.1.01195.S,B
2013.1.00278.S,B
2013.1.00327.S,B
2013.1.00922.S,B
2013.1.00251.S,B
2013.1.01207.S,B
2013.1.00437.S,B
2013.1.00114.S,B
2013.1.00257.S,B
2013.1.00014.S,B
2013.1.00380.S,B
2013.1.01102.S,B
2013.1.00465.S,B
2013.1.00367.S,B
2013.1.01010.S,B
2013.1.00566.S,B
2013.1.00222.T,B
2013.1.00694.S,B
2013.1.00446.S,B
2013.1.01057.S,B
2013.1.00368.S,B
2013.1.00742.S,B
2013.1.00180.S,B
2013.1.00231.S,B
2013.1.00952.S,B
2013.1.00346.S,B
2013.1.01157.S,B
2013.1.01369.S,B
2013.1.00056.S,B
2013.1.00025.S,B
2013.1.01358.S,B
2013.1.01314.S,B
2013.1.00889.S,B
2013.1.00164.S,B
2013.1.01282.S,B
2013.1.00994.S,B
2013.1.01202.S,B
2013.1.00296.S,B
2013.1.01013.S,B
2013.1.01075.S,B
2013.1.00250.S,B
2013.1.00220.S,B
2013.1.01178.S,B
2013.1.00586.S,B
2013.1.00911.S,B
2013.1.00857.S,B
2013.1.00031.S,B
2013.1.01153.S,B
2013.1.01215.S,B
2013.1.00248.S,B
2013.1.01004.S,B
2013.1.00355.S,B
2013.1.00601.S,B
2013.1.01064.S,B
2013.1.00991.S,B
2013.1.00877.S,B
2013.1.00449.S,B
2013.1.01165.S,B
2013.1.00046.S,B
2013.1.01286.S,B
2013.1.01119.S,B
2013.1.00116.S,B
2013.1.01365.S,B
2013.1.00812.S,B
2013.1.00489.S,B
2013.1.00246.S,B
2013.1.00020.S,B
2013.1.00071.S,B
2013.1.00208.S,B
2013.1.00534.S,B
2013.1.00788.S,B
2013.1.00527.S,B
2013.1.00854.S,B
2013.1.01380.S,B
2013.1.00195.S,B
2013.1.00366.S,B
2013.1.00118.S,B
2013.1.00095.S,B
2013.1.00279.S,B
2013.1.00885.S,B
2013.1.00293.S,B
2013.1.00021.S,B
2013.1.00148.S,B
2013.1.00521.S,B
2013.1.00061.S,B
2013.1.00376.S,B
2013.1.00736.S,B
2013.1.00967.S,B
2013.1.00745.S,B
2013.1.00735.S,B
2013.1.00073.S,B
2013.1.00280.S,B
2013.1.00151.S,B
2013.1.00793.S,B
2013.1.00535.S,B
2013.1.00498.S,B
2013.1.00157.S,B
2013.1.00760.S,B
2013.1.00244.S,B
2013.1.00806.S,B
2013.1.00218.S,B
2013.1.00815.S,B
2013.1.00156.S,B
2013.1.00099.S,B
2013.1.00670.S,B
2013.1.00041.S,B
2013.1.00433.S,B
2013.1.00978.S,B
2013.1.00291.S,B
2013.1.01305.S,B
2013.1.00018.S,B
2013.1.00171.S,B
2013.1.00659.S,B
2013.1.00166.S,B
2013.1.01368.S,B
2013.1.00884.S,B
2013.1.01007.S,B
2013.1.00916.S,B
2013.1.00773.S,B
2013.1.00205.S,B
2013.1.00618.S,B
2013.1.01155.S,B
2013.1.00726.S,B
2013.1.01231.S,B
2013.1.00047.S,B
2013.1.00973.S,B
2013.1.00387.S,B
2013.1.01151.S,B
2013.1.00001.S,B
2013.1.00902.S,B
2013.1.00843.S,B
2013.1.01036.S,B
2013.1.01037.S,B
2013.1.00254.S,B
2013.1.00740.S,B
2013.1.00798.S,B
2013.1.00975.S,B
2013.1.00826.S,B
2013.1.00100.S,B
2013.1.01161.S,B
2013.1.00139.S,B
2013.1.00404.S,B
2013.1.01239.S,B
2013.1.00458.S,B
2013.1.00584.S,B
2013.1.00556.S,B
2013.1.00647.S,B
2013.1.01180.S,B
2013.1.00834.S,B
2013.1.00059.S,B
2013.1.00286.S,B
2013.1.00362.S,B
2013.1.01035.S,B
2013.1.00502.S,B
2013.1.00163.S,B
2013.1.00652.S,B
2013.1.00523.S,B
2013.1.00988.S,B
2013.1.00271.S,B
2013.1.01366.T,B
2013.1.00786.S,B
2013.1.00813.S,B
2013.1.00319.S,B
2013.1.00839.S,B
2013.1.01167.S,B
2013.1.01139.S,B
2013.1.00553.S,B
2013.1.00960.S,B
2013.1.00568.S,B
2013.1.01230.S,B
2013.1.00210.S,B
2013.1.01061.S,B
2013.1.00120.S,B
2013.1.00227.S,B
2013.1.00897.S,B
2013.1.00053.S,B
2013.1.00183.S,B
2013.1.00999.S,B
2013.1.00032.S,B
2013.1.01029.S,B
2013.1.00332.S,B
2013.1.00870.S,B
2013.1.01022.S,B
2013.1.00965.S,B
2013.1.01041.S,B
2013.1.00252.S,B
2013.1.00146.S,B
2013.1.00831.S,B
2013.1.00209.S,B
2013.1.00824.S,B
2013.1.00783.S,B
2013.1.00352.S,B
2013.1.00105.S,B
2013.1.00532.S,B
2013.1.01271.S,B
2013.1.01299.S,B
2013.1.00331.S,B
2013.1.00469.S,B
2013.1.00196.S,B
2013.1.00287.S,B
2013.1.01258.S,B
2013.1.00727.S,B
2013.1.00691.S,B
2013.1.01114.S,B
2013.1.01034.S,B
2013.1.00358.S,B
2013.1.00087.S,B
2013.1.00170.S,B
2013.1.00096.S,B
2013.1.00457.S,B
2013.1.00668.S,B
2013.1.00276.S,B
2013.1.00260.S,B
2013.1.00833.S,B
2013.1.01397.S,B
2013.1.00269.S,B
2013.1.00955.S,B
2013.1.01307.S,B
2013.1.00216.S,B
2013.1.00588.S,B
2013.1.00221.S,B
2013.1.00832.S,B
2013.1.00518.S,B
2013.1.00470.S,B
2013.1.00393.S,B
2013.1.01262.S,B
2013.1.00814.S,B
2013.1.00658.S,B
2013.1.00395.S,B
2013.1.01302.S,B
2013.1.00749.S,B
2013.1.00397.S,B
2013.1.00188.S,B
2013.1.00546.S,B
2013.1.00112.S,B
2013.1.01329.S,B
2013.1.00704.S,B
2013.1.00255.S,B
2013.1.00198.S,B
2013.1.00476.S,B
2013.1.01113.S,B
2013.1.01086.S,B
2013.1.00591.S,B
2013.1.00262.S,B
2013.1.00725.S,B
2013.1.00266.S,B
2013.1.00374.S,B
2013.1.00828.S,B
2013.1.00663.S,B
2013.1.00451.S,B
2013.1.00186.S,B
2013.1.00781.S,B
2013.1.00199.S,B
2013.1.01331.S,B
2013.1.00700.S,B
2013.1.00686.T,B
2013.1.00862.S,B
2013.1.00576.S,B
2013.1.01020.S,B
2013.1.00107.S,B
2013.1.00261.S,B
2013.1.01225.S,B
2013.1.00305.S,B
2013.1.00212.S,B
2013.1.01099.S,B
2013.1.00080.S,B
2013.1.00474.S,B
2013.1.00989.S,B
2013.1.00650.S,B
2013.1.01110.S,B
2013.1.00708.S,B
2013.1.01274.S,B
2013.1.00879.S,B
2013.1.01051.S,B
2013.1.01292.S,B
2013.1.00234.S,B
2013.1.01158.S,B
2013.1.01188.S,B
2013.1.01065.S,B
2013.1.00803.S,B
2013.1.00516.S,B
2013.1.00060.S,B
2013.1.00211.S,B
2013.1.00468.S,B
2013.1.00008.S,B
2013.1.01255.S,B
2013.1.01192.S,B
2013.1.00537.S,B
2013.1.00525.S,B
2013.1.01166.S,B
2013.1.01383.S,B
2013.1.01295.S,B
2013.1.01142.S,B
2013.1.01042.S,B
2013.1.00147.S,B
2013.1.00162.S,B
2013.1.01172.S,B
2013.1.00312.S,B
2013.1.00645.S,B
2013.1.01147.S,B
2013.1.00328.S,B
2013.1.00718.S,B
2013.1.00450.S,B
2013.1.00710.S,B
2013.1.00861.S,B
2013.1.00664.S,C
2013.1.00513.S,C
2013.1.00243.S,C
2013.1.00569.S,C
2013.1.00055.S,C
2013.1.01014.S,C
2013.1.00323.S,C
2013.1.01267.S,C
2013.1.00103.S,C
2013.1.01214.S,C
2013.1.00247.S,C
2013.1.00308.S,C
2013.1.00462.S,C
2013.1.00070.S,C
2013.1.00189.S,C
2013.1.00615.S,C
2013.1.00049.S,C
2013.1.00617.S,C
2013.1.00597.S,C
2013.1.01177.S,C
2013.1.01145.S,C
2013.1.00743.S,C
2013.1.01233.S,C
2013.1.00141.S,C
2013.1.00129.S,C
2013.1.00134.S,C
2013.1.00178.S,C
2013.1.01135.S,C
2013.1.01204.S,C
2013.1.00282.S,C
2013.1.00233.S,C
2013.1.00058.S,C
2013.1.00343.S,C
2013.1.01213.S,C
2013.1.01173.S,C
2013.1.01043.S,C
2013.1.00684.S,C
2013.1.00149.S,C
2013.1.00091.S,C
2013.1.00273.S,C
2013.1.00350.S,C
2013.1.00342.S,C
2013.1.00996.S,C
2013.1.00448.S,C
2013.1.00720.S,C
2013.1.00136.S,C
2013.1.00890.S,C
2013.1.01296.S,C
2013.1.00165.S,C
2013.1.00609.S,C
2013.1.00953.T,C
2013.1.00229.S,C
2013.1.00236.S,C
2013.1.00914.S,C
2013.1.01117.S,C
2013.1.01132.S,C
2013.1.00447.S,C
2013.1.01357.S,C
2013.1.01066.S,C
2013.1.01200.S,C
2013.1.00490.S,C
2013.1.01031.S,C
2013.1.00050.S,C
2013.1.00721.S,C
2013.1.00192.S,C
2013.1.01076.S,C
2013.1.00337.S,C
2013.1.00836.S,C
2013.1.00015.S,C
2013.1.01187.S,C
2013.1.00901.S,C
2013.1.00078.S,C
2013.1.00013.S,C
2013.1.01193.S,C
2013.1.00313.S,C
2013.1.00064.S,C
2013.1.00661.S,C
2013.1.00600.S,C
2013.1.00356.S,C
2013.1.00594.S,C
2013.1.00077.S,C
2013.1.01391.S,C
2013.1.00698.S,C
2013.1.00039.S,C
2013.1.00937.S,C
2013.1.01242.S,C
2013.1.00504.S,C
2013.1.01005.S,C
2013.1.00692.S,C
2013.1.00379.S,C
2013.1.00817.S,C
2013.1.00634.S,C
2013.1.00265.S,C
2013.1.00927.S,C
2013.1.00062.S,C
2013.1.00672.S,C
2013.1.00578.S,C
2013.1.00539.S,C
2013.1.00187.S,C
2013.1.00486.S,C
2013.1.00801.S,C
2013.1.00995.S,C
2013.1.01017.S,C
2013.1.00606.S,C
2013.1.00519.S,C
2013.1.00602.S,C
2013.1.01332.S,C
2013.1.00874.S,C
2013.1.00152.S,C
2013.1.00771.S,C
2013.1.01223.S,C
2013.1.00938.S,C
2013.1.01359.S,C
2013.1.00697.S,C
2013.1.00385.S,C
2013.1.00461.S,C
2013.1.00624.S,C
2013.1.00840.S,C
2013.1.00623.S,C
2013.1.01039.S,C
2013.1.00941.S,C
2013.1.00966.S,C
2013.1.00144.S,C
2013.1.00206.S,C
2013.1.00945.S,C
2013.1.00224.S,C
2013.1.00904.S,C
2013.1.01090.S,C
2013.1.00123.S,C
2013.1.00159.S,C
2013.1.00993.S,C
2013.1.00932.S,C
2013.1.00259.S,C
2013.1.00256.S,C
2013.1.00361.S,C
2013.1.00179.S,C
2013.1.00145.S,C
2013.1.00214.S,C
2013.1.00838.S,C
2013.1.00780.S,C
2013.1.00115.S,C
2013.1.01091.S,C
2013.1.00428.S,C
2013.1.00530.S,C
2013.1.00121.S,C
2013.1.00969.S,C
2013.1.01033.S,C
2013.1.00417.S,C
2013.1.00957.S,C
2013.1.00639.S,C
2013.1.00724.S,C
2013.1.00051.S,C
2013.1.00752.S,C
2013.1.01082.S,C
2013.1.00505.S,C
2013.1.01389.S,C
2013.1.00463.S,C
2013.1.01301.S,C
2013.1.00423.S,C
2013.1.00940.S,C
2013.1.00662.S,C
2013.1.00612.S,C
2013.1.00592.S,U
2013.1.01364.S,U
2013.1.01388.S,U
2013.1.00029.S,U
2013.1.01247.S,U
2013.1.01105.S,U
2013.1.01179.S,U
2013.1.00140.S,U
2013.1.01342.S,U
2013.1.00552.S,U
2013.1.01376.S,U
2013.1.00402.S,U
2013.1.00298.S,U
2013.1.00017.S,U
2013.1.00235.S,U
2013.1.01085.S,U
2013.1.00919.S,U
2013.1.00384.S,U
2013.1.00562.S,U
2013.1.00158.S,U
2013.1.00023.S,U
2013.1.00177.S,U
2013.1.00632.S,U
2013.1.01362.S,U
2013.1.01067.S,U
2013.1.00272.S,U
2013.1.00281.S,U
2013.1.00876.S,U
2013.1.00155.S,U
2013.1.00316.S,U
2013.1.01281.S,U
2013.1.00394.S,U
2013.1.00302.S,U
2013.1.01351.S,U
2013.1.01294.S,U
2013.1.00399.S,U
2013.1.00705.S,U
2013.1.00987.S,U
2013.1.00054.S,U
2013.1.00452.S,U
2013.1.01248.S,U
2013.1.01044.S,U
2013.1.01227.S,U
2013.1.00541.S,U
2013.1.00160.S,U
2013.1.00011.S,U
2013.1.00528.S,U
2013.1.01374.S,U
2013.1.00418.S,U
2013.1.00913.S,U
2013.1.00093.S,U
2013.1.00364.S,U
2013.1.01089.S,U
2013.1.00784.S,U
2013.1.00866.S,U
2013.1.01170.S,U
2013.1.01353.S,U
2013.1.00688.S,U
2013.1.01232.S,U
2013.1.01018.S,U
2013.1.00412.S,U
2013.1.00681.S,U
2013.1.00977.S,U
2013.1.00770.S,U
2013.1.00951.S,U
2013.1.00416.S,U
2013.1.01387.S,U
2013.1.00184.S,U
2013.1.00616.S,U
2013.1.01054.S,U
2013.1.00217.S,U
2013.1.01270.S,U
2013.1.00571.S,U
2013.1.00787.S,U
2013.1.00270.S,U
2013.1.00365.S,U
2013.1.00131.S,U
2013.1.00307.S,U
2013.1.01174.S,U
2013.1.00621.S,U
2013.1.01220.S,U
2013.1.00375.S,U
2013.1.01346.S,U
2013.1.00040.S,U
2013.1.00396.S,U
2013.1.01211.S,U
2013.1.00301.S,U
2013.1.00445.S,U
2013.1.00086.S,U
2013.1.00818.S,U
2013.1.00201.S,U
2013.1.01134.S,U
2013.1.00954.S,U
2013.1.00398.S,U
2013.1.00737.S,U
2013.1.01168.S,U
2013.1.01003.S,U
2013.1.00360.S,U
2013.1.01163.S,U
2013.1.00109.S,U
2013.1.00429.S,U
2013.1.00067.S,U
2013.1.00667.S,U
2013.1.00176.S,U
2013.1.00777.S,U
2013.1.01246.S,U
2013.1.00325.S,U
2013.1.01156.S,U
2013.1.01072.S,U
2013.1.00719.S,U
2013.1.00354.S,U
2013.1.00962.S,U
2013.1.00589.S,U
2013.1.01109.S,U
2013.1.00595.S,U
2013.1.00491.S,U
2013.1.01053.S,U
2013.1.01385.S,U
2013.1.00929.S,U
2013.1.00947.S,U
2013.1.00467.S,U
2013.1.00258.S,U
2013.1.00455.S,U
2013.1.00851.S,U
2013.1.00767.S,U
2013.1.01237.S,U
2013.1.01129.S,U
2013.1.01278.S,U
2013.1.00409.S,U
2013.1.00484.S,U
2013.1.01367.T,U
2013.1.00074.S,U
2013.1.01104.S,U
2013.1.01279.S,U
2013.1.00867.S,U
2013.1.00622.S,U
2013.1.00383.S,U
2013.1.00680.S,U
2013.1.01218.S,U
2013.1.00488.S,U
2013.1.00238.S,U
2013.1.00477.S,U
2013.1.01092.S,U
2013.1.00930.S,U
2013.1.00627.S,U
2013.1.00774.S,U
2013.1.00411.S,U
2013.1.00732.S,U
2013.1.01379.S,U
2013.1.01392.S,U
2013.1.00950.S,U
2013.1.00295.S,U
2013.1.01273.S,U
2013.1.00497.S,U
2013.1.00849.S,U
2013.1.00512.S,U
2013.1.00714.S,U
2013.1.01283.S,U
2013.1.01308.S,U
2013.1.00110.S,U
2013.1.01111.S,U
2013.1.00598.S,U
2013.1.00751.T,U
2013.1.01068.T,U
2013.1.00479.S,U
2013.1.00076.S,U
2013.1.00202.S,U
2013.1.00807.S,U
2013.1.00441.S,U
2013.1.00414.S,U
2013.1.00717.S,U
2013.1.01008.S,U
2013.1.01078.S,U
2013.1.00471.S,U
2013.1.00373.S,U
2013.1.00678.S,U
2013.1.01300.S,U
2013.1.00878.S,U
2013.1.01266.S,U
2013.1.00150.S,U
